epoch loss predictions_class_acc predictions_class_loss predictions_iou_acc predictions_iou_loss val_loss val_predictions_class_acc val_predictions_class_loss val_predictions_iou_acc val_predictions_iou_loss
0 0.2582948206140128 0.8851768788083954 0.4303345212601907 0.10989336492890996 0.08625511991802147 0.16195416240257893 0.9271222014925373 0.26850947037029926 0.13071361940298507 0.05539885299356738
1 0.17983711399793745 0.9133590047393365 0.2925881883570863 0.11966824644549763 0.06708603950006763 0.15357118798072325 0.929570895522388 0.2531768381808461 0.13152985074626866 0.05396553819978248
2 0.14902304463371 0.9271961746784022 0.2349644619397713 0.12131855111712932 0.06308162697391004 0.14873831646878327 0.9327192164179104 0.2442925324613131 0.1318796641791045 0.05318410160999967
3 0.12807218676979024 0.9370556872037915 0.19517062604490393 0.12216486120514557 0.06097374762583098 0.1489291488498783 0.9329524253731343 0.24561795506125955 0.13257929104477612 0.052240340565609285
4 0.11070693694950462 0.9462381516587678 0.16228216050001026 0.12271496276235613 0.05913171292955438 0.15268740634809233 0.933535447761194 0.2540516642616443 0.13211287313432835 0.05132314849839504
5 0.09867337961872244 0.9524796885578876 0.13954315123324185 0.12320159106296547 0.057803607837107224 0.15034502616096565 0.9338852611940298 0.24976761225148786 0.1322294776119403 0.05092243883765733
6 0.08863168356961589 0.9602657413676371 0.12015317637440556 0.12320159106296547 0.05711019012418726 0.14923109524230013 0.9342350746268657 0.2479135456606624 0.1316464552238806 0.050548644538329385
7 0.08104786503184826 0.9639895057549086 0.10632197313863827 0.12455568720379147 0.05577375688738288 0.14910177395977914 0.9351679104477612 0.24826416710748705 0.13152985074626866 0.04993937895702782
8 0.07462023403028943 0.968072951929587 0.0944724691536444 0.1243017941773866 0.05476799881881508 0.15242907559888355 0.9363339552238806 0.25528903399314384 0.1318796641791045 0.049569116323255
9 0.06875824103334928 0.9719236628300609 0.0834172345160651 0.12421716316858497 0.05409924762314671 0.15361572976689786 0.9359841417910447 0.25828365485097887 0.13199626865671643 0.04894780444585955
10 0.064154693588221 0.9745895396073121 0.07492748459488326 0.12468263371699391 0.05338190257430742 0.15218747290956386 0.9359841417910447 0.2555739929399596 0.1322294776119403 0.04880095297060629
11 0.06138141246634859 0.9766206838185512 0.07016946332760599 0.12451337169939065 0.05259336126538229 0.1532766554911218 0.9357509328358209 0.2583871660860509 0.13234608208955223 0.04816614696756005
12 0.057385764182491646 0.9791596140825999 0.0628386845765856 0.1253385240352065 0.0519328436939728 0.15522861725880083 0.9375 0.2628790494505231 0.13152985074626866 0.047578184773325365
13 0.05392332791023526 0.9807041299932295 0.05678885469633074 0.12535968178740692 0.05105780129564942 0.1570512591687434 0.9378498134328358 0.2668266652213625 0.13071361940298507 0.04727585192026098
14 0.05057687206810483 0.9828833784698714 0.05128104508639746 0.12546547054840892 0.049872699115468225 0.15725586826760155 0.9370335820895522 0.2675426463279856 0.1316464552238806 0.04696908992464974
15 0.04941621398554513 0.9836027420446851 0.049059356991252086 0.1257193635748138 0.04977307117215598 0.15847309080730956 0.9378498134328358 0.27043318302881447 0.13129664179104478 0.046512996781367194
